Report Refresh Date,User Principal Name,Last Activation Date,Last Activity Date,Report Period,Windows,Mac,Mobile,Web,Outlook,Word,Excel,PowerPoint,OneNote,Teams,Outlook (Windows),Word (Windows),Excel (Windows),PowerPoint (Windows),OneNote (Windows),Teams (Windows),Outlook (Mac),Word (Mac),Excel (Mac),PowerPoint (Mac),OneNote (Mac),Teams (Mac),Outlook (Mobile),Word (Mobile),Excel (Mobile),PowerPoint (Mobile),OneNote (Mobile),Teams (Mobile),Outlook (Web),Word (Web),Excel (Web),PowerPoint (Web),OneNote (Web),Teams (Web)
2023-10-07,lindsay_kutch@groverale.onmicrosoft.com,2023-09-17,2023-09-17,30,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes
2023-10-07,arlo.boyle@groverale.onmicrosoft.com,2023-09-17,2023-09-17,30,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No
2023-10-07,ara_gutmann@groverale.onmicrosoft.com,2023-09-17,2023-09-17,30,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No
2023-10-07,rhianna.beier@groverale.onmicrosoft.com,2023-09-17,2023-09-17,30,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
2023-10-07,ryder_rosenbaum@groverale.onmicrosoft.com,2023-09-17,2023-09-17,30,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
2023-10-07,davon.bins@groverale.onmicrosoft.com,2023-09-17,2023-09-17,30,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No
2023-10-07,camilla.halvorson@groverale.onmicrosoft.com,2023-09-17,2023-09-17,30,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No
2023-10-07,chad.gutkowski@groverale.onmicrosoft.com,2023-09-17,2023-09-17,30,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No
2023-10-07,karlee_abernathy@groverale.onmicrosoft.com,2023-09-17,2023-09-17,30,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No
2023-10-07,silas_considine@groverale.onmicrosoft.com,2023-09-17,2023-09-17,30,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
2023-10-07,gregory_o.hara@groverale.onmicrosoft.com,2023-09-17,2023-09-17,30,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
2023-10-07,angel.quitzon@groverale.onmicrosoft.com,2023-09-17,2023-09-17,30,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No
